code;name
1010;APARTAMENTO
1011;APTO. CORACREVI
1012;APTO. INAVI
1013;CASA
1014;CONSERJERIA
1015;PENT-HOUSE
1016;QUINTA 
1017;VIVIENDA SOCIAL
1018;SERVICIOS GENERALES
1019;SERVICIOS PREFENCIALES
1999;RESID. NO DEF.
2003;ANCIANATO
2004;ANTENA DE COMUNICAC.
2006;CLINICA
2007;CLINICA VETERINARIA
2009;CONSULTORIO
2010;CONSULTORIO DENTAL
2012;HOSPITAL
2015;LABORATORIO CLINICO
2018;ACADEMIAS VARIAS
2021;COLEGIOS
2024;ESCUELA
2027;LICEO
2030;PREESCOLAR
2033;UNIVERSIDAD
2036;AGENCIA BANCO
2042;CASA DE CAMBIO
2045;SEGUROS
2048;ABASTO
2051;ADMINISTRADORA
2054;AGENCIA DE FESTEJOS
2057;AGENCIA DE LOTERIA
2060;AGENCIA DE VIAJES
2063;AGENCIA PUBLICITARIA
2066;ALMACEN
2069;ALQUILER DE VEHICULOS
2072;ALUMBRADO PUBLICO
2075;AREPERA
2078;ARTES GRAFICAS
2081;ASERRADERO
2084;ASOCIACIONES CIVILES
2087;AUTOLAVADO
2090;AUTOMERCADO
2093;AUTOTAPICERIA
2096;AVISO
2098;BAR-RESTAURANT
2099;BAR
2102;BARBERIA
2103;BIBLIOTECA
2105;BODEGA
2106;BOITE
2108;BOMBA DE AGUA
2111;BOUTIQUE
2115;CAFETERIA
2116;CANCHA DEPORTIVA
2118;CHARCUTERIA
2121;CHIVERA
2122;CARCEL
2124;CARNICERIA
2127;CARPINTERIA
2130;CEMENTERIO
2131;CENTRO COMERCIAL
2133;CERVECERIA
2136;CERRAJERIA
2139;COMERCIO MERCANCIA SECA
2142;CONCRETERA
2145;CONFITERIA
2148;CONSTRUCCION
2151;CRIA DE ANIMALES
2154;CRISTALERIA
2157;DEPOSITO
2160;DISTRIBUIDORA
2161;DISTRIBUIDORA DE PINTURA
2162;DISTRIBUIDORA DE GAS
2163;DROGERIA
2166;EDITORIAL
2169;ELECTROAUTO
2172;EMBAJADA
2175;EMBOTELLADORA
2178;EMISORA DE RADIO
2181;EMISORA DE TELEVISION
2184;EMP. DE SERV. PUBLICOS
2187;ENSAYO MUSICAL
2190;ESTACION DE SERVICIO
2193;ESTACIONAMIENTO
2196;ESTUDIO DE GRABACION
2199;ESTUDIO FOTOGRAFICO
2202;EXPOSICION
2205;FARMACIA
2208;FERRETERIA
2211;FLORISTERIA
2215;FOTOCOPIADORA
2218;FRIGORIFICO
2221;FRUTERIA
2224;FUENTE DE SODA
2227;FUNERARIA
2230;GESTORIA
2233;GIMNASIO
2236;GRANJA
2239;HACIENDA
2242;HANGAR
2245;HELADERIA
2248;HILO MUSICAL
2251;HOTEL
2254;IMPRENTA
2257;INMUEBLE DEMOLIDO
2260;INMUEBLE DESOCUPADO
2263;INSTRUMENTOS DE PRECISION
2266;INVERSORA
2269;JOYERIA
2272;JUGUETERIA
2275;KIOSKOS
2278;LAVADO DE ALFOMBRAS
2281;LAVANDERIA-TINTORERIA
2282;TINTORERIA
2284;LIBRERIA
2287;LICORERIA
2290;LITOGRAFIA
2293;LOCAL VACIO
2296;MANTEN. AIRE ACONDICION.
2299;MARQUETERIA
2300;MERCADOS POPULARES
2302;MUEBLERIA
2305;OFICINA
2308;OPTICA
2311;PANADERIA
2314;PASTELERIA
